0x1f600	grinning
0x1f1ec,0x1f1e7	flag gb
0x1f1ec,0x1f1e7	uk
0x1f1ec,0x1f1e7	gb
0x1f1ec,0x1f1e9	flag gd
0x1f1ec,0x1f1ea	flag ge
0x1f1ec,0x1f1eb	flag gf
0x1f1ec,0x1f1ec	flag gg
0x1f1ec,0x1f1ed	flag gh
0x1f1ec,0x1f1ee	flag gi
0x1f1ec,0x1f1f1	flag gl
0x1f1ec,0x1f1f2	flag gm
0x1f1ec,0x1f1f3	flag gn
0x1f1ec,0x1f1f5	flag gp
0x1f1ec,0x1f1f6	flag gq
0x1f1ec,0x1f1f7	flag gr
0x1f1ec,0x1f1f8	flag gs
0x1f1ec,0x1f1f9	flag gt
0x1f1ec,0x1f1fa	flag gu
0x1f1ec,0x1f1fc	flag gw
0x1f1ec,0x1f1fe	flag gy
0x1f1ed,0x1f1f0	flag hk
0x1f1ed,0x1f1f2	flag hm
0x1f1ed,0x1f1f3	flag hn
0x1f1ed,0x1f1f7	flag hr
0x1f1ed,0x1f1f9	flag ht
0x1f1ed,0x1f1fa	flag hu
0x1f1ee,0x1f1e8	flag ic
0x1f1ee,0x1f1e9	flag id
0x1f1ee,0x1f1ea	flag ie
0x1f1ee,0x1f1f1	flag il
0x1f1ee,0x1f1f2	flag im
0x1f1ee,0x1f1f3	flag in
0x1f1ee,0x1f1f4	flag io
0x1f1ee,0x1f1f6	flag iq
0x1f1ee,0x1f1f7	flag ir
0x1f1ee,0x1f1f8	flag is
0x1f1ee,0x1f1f9	flag it
0x1f1ee,0x1f1f9	it
0x1f1ef,0x1f1ea	flag je
0x1f1ef,0x1f1f2	flag jm
0x1f1ef,0x1f1f4	flag jo
0x1f1ef,0x1f1f5	flag jp
0x1f1ef,0x1f1f5	jp
0x1f1f0,0x1f1ea	flag ke
0x1f1f0,0x1f1ec	flag kg
0x1f1f0,0x1f1ed	flag kh
0x1f1f0,0x1f1ee	flag ki
0x1f1f0,0x1f1f2	flag km
0x1f1f0,0x1f1f3	flag kn
0x1f1f0,0x1f1f5	flag kp
0x1f1f0,0x1f1f7	flag kr
0x1f1f0,0x1f1f7	kr
0x1f1f0,0x1f1fc	flag kw
0x1f1f0,0x1f1fe	flag ky
0x1f1f0,0x1f1ff	flag kz
0x1f1f1,0x1f1e6	flag la
0x1f1f1,0x1f1e7	flag lb
0x1f1f1,0x1f1e8	flag lc
0x1f1f1,0x1f1ee	flag li
0x1f1f1,0x1f1f0	flag lk
0x1f1f1,0x1f1f7	flag lr
0x1f1f1,0x1f1f8	flag ls
0x1f1f1,0x1f1f9	flag lt
0x1f1f1,0x1f1fa	flag lu
0x1f1f1,0x1f1fb	flag lv
0x1f1f1,0x1f1fe	flag ly
0x1f1f2,0x1f1e6	flag ma
0x1f1f2,0x1f1e8	flag mc
0x1f1f2,0x1f1e9	flag md
0x1f1f2,0x1f1ea	flag me
0x1f1f2,0x1f1eb	flag mf
0x1f1f2,0x1f1ec	flag mg
0x1f1f2,0x1f1ed	flag mh
0x1f1f2,0x1f1f0	flag mk
0x1f1f2,0x1f1f1	flag ml
0x1f1f2,0x1f1f2	flag mm
0x1f1f2,0x1f1f3	flag mn
0x1f1f2,0x1f1f4	flag mo
0x1f1f2,0x1f1f5	flag mp
0x1f1f2,0x1f1f6	flag mq
0x1f1f2,0x1f1f7	flag mr
0x1f1f2,0x1f1f8	flag ms
0x1f1f2,0x1f1f9	flag mt
0x1f1f2,0x1f1fa	flag mu
0x1f1f2,0x1f1fb	flag mv
0x1f1f2,0x1f1fc	flag mw
0x1f1f2,0x1f1fd	flag mx
0x1f1f2,0x1f1fe	flag my
0x1f1f2,0x1f1ff	flag mz
0x1f1f3,0x1f1e6	flag na
0x1f1f3,0x1f1e8	flag nc
0x1f1f3,0x1f1ea	flag ne
0x1f1f3,0x1f1eb	flag nf
0x1f1f3,0x1f1ec	flag ng
0x1f1f3,0x1f1ee	flag ni
0x1f1f3,0x1f1f1	flag nl
0x1f1f3,0x1f1f4	flag no
0x1f1f3,0x1f1f5	flag np
0x1f1f3,0x1f1f7	flag nr
0x1f1f3,0x1f1fa	flag nu
0x1f1f3,0x1f1ff	flag nz
0x1f1f4,0x1f1f2	flag om
0x1f1f5,0x1f1e6	flag pa
0x1f1f5,0x1f1ea	flag pe
0x1f1f5,0x1f1eb	flag pf
0x1f1f5,0x1f1ec	flag pg
0x1f1f5,0x1f1ed	flag ph
0x1f1f5,0x1f1f0	flag pk
0x1f1f5,0x1f1f1	flag pl
0x1f1f5,0x1f1f2	flag pm
0x1f1f5,0x1f1f3	flag pn
0x1f1f5,0x1f1f7	flag pr
0x1f1f5,0x1f1f8	flag ps
0x1f1f5,0x1f1f9	flag pt
0x1f1f5,0x1f1fc	flag pw
0x1f1f5,0x1f1fe	flag py
0x1f1f6,0x1f1e6	flag qa
0x1f1f7,0x1f1ea	flag re
0x1f1f7,0x1f1f4	flag ro
0x1f1f7,0x1f1f8	flag rs
0x1f1f7,0x1f1fa	flag ru
0x1f1f7,0x1f1fa	ru
0x1f1f7,0x1f1fc	flag rw
0x1f1f8,0x1f1e6	flag sa
0x1f1f8,0x1f1e7	flag sb
0x1f1f8,0x1f1e8	flag sc
0x1f1f8,0x1f1e9	flag sd
0x1f1f8,0x1f1ea	flag se
0x1f1f8,0x1f1ec	flag sg
0x1f1f8,0x1f1ed	flag sh
0x1f1f8,0x1f1ee	flag si
0x1f1f8,0x1f1ef	flag sj
0x1f1f8,0x1f1f0	flag sk
0x1f1f8,0x1f1f1	flag sl
0x1f1f8,0x1f1f2	flag sm
0x1f1f8,0x1f1f3	flag sn
0x1f1f8,0x1f1f4	flag so
0x1f1f8,0x1f1f7	flag sr
0x1f1f8,0x1f1f8	flag ss
0x1f1f8,0x1f1f9	flag st
0x1f1f8,0x1f1fb	flag sv
0x1f1f8,0x1f1fd	flag sx
0x1f1f8,0x1f1fe	flag sy
0x1f1f8,0x1f1ff	flag sz
0x1f1f9,0x1f1e6	flag ta
0x1f1f9,0x1f1e8	flag tc
0x1f1f9,0x1f1e9	flag td
0x1f1f9,0x1f1eb	flag tf
0x1f1f9,0x1f1ec	flag tg
0x1f1f9,0x1f1ed	flag th
0x1f1f9,0x1f1ef	flag tj
0x1f1f9,0x1f1f0	flag tk
0x1f1f9,0x1f1f1	flag tl
0x1f1f9,0x1f1f2	flag tm
0x1f1f9,0x1f1f3	flag tn
0x1f1f9,0x1f1f4	flag to
0x1f1f9,0x1f1f7	flag tr
0x1f1f9,0x1f1f9	flag tt
0x1f1f9,0x1f1fb	flag tv
0x1f1f9,0x1f1fc	flag tw
0x1f1f9,0x1f1ff	flag tz
0x1f1fa,0x1f1e6	flag ua
0x1f1fa,0x1f1ec	flag ug
0x1f1fa,0x1f1f2	flag um
0x1f1fa,0x1f1f8	flag us
0x1f1fa,0x1f1f8	us
0x1f1fa,0x1f1fe	flag uy
0x1f1fa,0x1f1ff	flag uz
0x1f1fb,0x1f1e6	flag va
0x1f1fb,0x1f1e8	flag vc
0x1f1fb,0x1f1ea	flag ve
0x1f1fb,0x1f1ec	flag vg
0x1f1fb,0x1f1ee	flag vi
0x1f1fb,0x1f1f3	flag vn
0x1f1fb,0x1f1fa	flag vu
0x1f1fc,0x1f1eb	flag wf
0x1f1fc,0x1f1f8	flag ws
0x1f1fd,0x1f1f0	flag xk
0x1f1fe,0x1f1ea	flag ye
0x1f1fe,0x1f1f9	flag yt
0x1f1ff,0x1f1e6	flag za
0x1f1ff,0x1f1f2	flag zm
0x1f1ff,0x1f1fc	flag zw
0x1f468,0x200d,0x1f468,0x200d,0x1f466	man man boy
0x1f468,0x200d,0x1f468,0x200d,0x1f466,0x200d,0x1f466	man man boy boy
0x1f468,0x200d,0x1f468,0x200d,0x1f467	man man girl
0x1f468,0x200d,0x1f468,0x200d,0x1f467,0x200d,0x1f466	man man girl boy
0x1f468,0x200d,0x1f468,0x200d,0x1f467,0x200d,0x1f467	man man girl girl
0x1f468,0x200d,0x1f469,0x200d,0x1f466,0x200d,0x1f466	man woman boy boy
0x1f468,0x200d,0x1f469,0x200d,0x1f467	man woman girl
0x1f468,0x200d,0x1f469,0x200d,0x1f467,0x200d,0x1f466	man woman girl boy
0x1f468,0x200d,0x1f469,0x200d,0x1f467,0x200d,0x1f467	man woman girl girl
0x1f468,0x200d,0x2764,0xfe0f,0x200d,0x1f468	man heart man
0x1f468,0x200d,0x2764,0xfe0f,0x200d,0x1f48b,0x200d,0x1f468	man kiss man
0x1f469,0x200d,0x1f469,0x200d,0x1f466	woman woman boy
0x1f469,0x200d,0x1f469,0x200d,0x1f466,0x200d,0x1f466	woman woman boy boy
0x1f469,0x200d,0x1f469,0x200d,0x1f467	woman woman girl
0x1f469,0x200d,0x1f469,0x200d,0x1f467,0x200d,0x1f466	woman woman girl boy
0x1f469,0x200d,0x1f469,0x200d,0x1f467,0x200d,0x1f467	woman woman girl girl
0x1f469,0x200d,0x2764,0xfe0f,0x200d,0x1f469	woman heart woman
0x1f469,0x200d,0x2764,0xfe0f,0x200d,0x1f48b,0x200d,0x1f469	woman kiss woman
